# Typ1: Einsetzen von Kommata
# Typ2: Erkennen der Regel
# Typ3: Kommata korrigieren
# Typ4: Erkennen der richtigen Sätze
# Typ5: Beantwortung von Fragen
# Typ6: Single-Choice Aufgabe
R1-01|Typ1|Auf dem Bild sieht man eine Blumenwiese, (A1) einen Vogel, (A1) ein Mädchen, (A1) einen Hund.
R1-02|Typ1|Das Mädchen heißt Mia. Mia hat blondes Haar, (A1) grüne Augen, (A1) außerdem trägt sie einen bunten Pulli.
R1-03|Typ1|Die Blumenwiese erstrahlt in bunten Farben. Mia zählt orange, (A1) weiße, (A1) rote (A2) und lilane Blütenfarben.
R1-04|Typ2|In ihrer Freizeit spielt Mia gerne Fußball, (A1) backt gerne (A2) und turnt.
R1-05|Typ5|Mia hat vier Geschwister. Einen kleinen Bruder Marlo, (A1) eine ältere Schwester Taylor (A2) und zwei Halbgeschwister Tom (A2) und Quinn.
R1-06|Typ3|Mias Mutter Hilde engagiert sich ehrenamtlich in der Suppenküche, (A1) gibt Sprach-, (A1) sowie Kochkurse.
R1-07|Typ5|Mias Vater hingegen arbeitet in einer Tierarztpraxis. Dort behandelt er Hunde, (A1) Katzen, (A1) Vögel, (C1) aber auch Bauernhoftiere wie beispielsweise Pferde.
R1-08|Typ4|Obwohl Mia an den Wochenenden viele Aktivitäten plant, (C1) darunter Gartenarbeit, (A1) den Besuch bei Freunden (A2) und Fußballturnieren, (A1) muss sich Mia immer erst um ihren Hund kümmern.
R1-09|Typ4|Während Marlo seine freie Zeit mit Freunden, (A1) zocken (A2) oder Basketball verbringt, (C1) verbringt Taylor die Zeit lieber mit lesen, (A1) Fahrrad fahren, (A1) Badminton spielen (A2) oder backen.
R1-10|Typ3|Mia verbringt die Sommerferien in den Bergen, (A1) dort denkt sie am liebsten über verschiedene Themen nach (A2) oder wandert zusammen mit ihrem Opa. Außerdem liest sie gerne Comics (A2) oder Romane.
R1-11|Typ1|Mia geht in die sechste Klasse einer weiterführenden Schule. Ihre Lieblingsfächer sind Mathe, (A1) Deutsch und (A2) Sport.
R1-12|Typ3|Die Lieblingsfußballer:innen von Mia sind Jule Brand (A2) und Thomas Müller (A2) und Lena Oberdorf (A2) und Kai Havertz.
R1-13|Typ3|Nächstes Jahr steht für die Familie von Mia eine Weltreise an. Sie fliegen unter anderem nach New York, (A1) Bangkok, (A1) Japan (A2) und Bali.
R1-14|Typ3|Mia packt ihren Koffer, weil es bald für die Familie in den Urlaub geht und telefoniert währenddessen mit ihrer Freundin.
R1-15|Typ5|Während Mia das Reisen in die Berge zum Skifahren (A2) und Wandern liebt, (A1) liebt der Rest ihrer Familie das Reisen an den Strand, (A1) in die Sonne (A2) und in weit entfernte Länder.
R2-01|Typ2|Das Bild zeigt eine Welt voller Magie, (C1) weil ein Zauberer mit Hut zu erkennen ist.
R2-02|Typ1|Harry Potter ist ein Teil einer solchen magischen Welt, (C1) weil er als Zauberer geboren wurde.
R2-03|Typ1|Harry Potter ist ein Junge, (C1) der als Zauberer geboren wurde, (C1) jedoch erst bei seinen Verwandten lebt, bevor er nach Hogwarts kommt.
R2-04|Typ1|Menschen, (C1) die wahre Harry Potter Fans sind, (C1) werden als Potterheads bezeichnet.
R2-05|Typ1|Der, dessen Name nicht genannt werden darf, versucht Harry Potter zu töten.
R2-06|Typ2|Der Hogwart-Express bringt die Schüler: innen nach Hogwarts, dieser fährt vom Gleis 9¾ ab, (C1) dessen Existenz lediglich Anhänger der magischen Welt sehen.
R2-07|Typ4|Die Anhänger von Lord Voldemort besitzen ein Symbol am Arm, (C1) welches als dunkles Mal bezeichnet wird. Immer dann, (C1) wenn ein Verbrechen unter Lord Voldemorts Namen verübt wird, (C1) erscheint das dunkle Mal am Himmel, (C1) sodass jeder das Zeichen sehen kann.
R2-08|Typ3|Die Heiligtümer des Todes sind Gegenstände, (C1) die vom Tod selbst erschaffen worden sind. Dazu zählen ein Zauberstab, (C1) der jedes Duell gewinnt, (C1,A1) ein Stein, (C1) der bereits Verstorbene wieder lebendig macht (C1) und ein Tarnumhang.
R2-09|Typ6|Die Anhänger von Lord Voldemort bezeichnen sich selbst als Todesser (C2) und bedienen sich allen Mitteln für die Übernahme der Macht in der magischen Welt.
R2-10|Typ3|Der Hauself Dobby, (C1) der durch Harry Potter von seinem Hausherren befreit wurde, (C1) fühlt sich Harry Potter zu Dank verpflichtet, (C1) sodass er ihm in seinem Kampf gegen die dunklen Mächte behilflich ist.
