Code,Slug,Modus,Beschreibung,Regel,Übungstyp,Beispiel 1,Beispiel 2,Beispiel 3
A1,KOORD:GLEICHRANG,muss,"Gleichrangige Teilsätze, Wortgruppen od. Wörter grenzt man mit Komma voneinander ab.",§71,zu,"Die Musik wird leiser,(A1) der Vorhang hebt sich."," Er versprach,(B2.4.1) den Brief zu schreiben,(A1, B2.4.1) die Blumen zu gießen und den Hund zu füttern.","Ich bringe dir einen süßen,(A1) leckeren,(A1) saftigen Kuchen mit."
A2,KOORD:ENTGEGEN,muss,"Bei nicht echt koordinierenden Konjunktionen, also entgegenstellenden Konjunktionen (wie <em>aber</em>, <em>jedoch</em>, <em>sondern</em>) steht ein Komma.",§72 E2,selbst,"Ich lese gerne,(A2) aber nur spannende Bücher. ",,
A3,KOORD:SAETZE,kann,"Bei der Reihung von ganzen/selbstständigen Sätzen, die durch echt koordinierende Konjunktionen verbunden sind, kann ein Komma gesetzt werden, um die Gliederung des Ganzssatzes zu verdeutlichen.",§73,"selbst/MC; fakultatives Komma mit gelber Erklärung, sonst rot od. grün","Das Feuer brannte(,)(A3) und sie machten es sich gemütlich.",,
A4,KOORD:KONJ,darf nicht,"Bei gleichrangigen Teilsätzen, Wortgruppen oder Wörtern, die durch eine echt koordinierende Konjunktion verbunden sind, darf kein Komma gesetzt werden.",§72,lösch,Ich kam (A4) und sah.,,
B1.1,SUBORD:NEBEN,muss,Nebensätze grenzt man mit Komma ab.,§74,selbst,"Als wir nach Hause kamen,(B1.1) war es spät.",,
B1.2,SUBORD:NEBENEINLEIT,kann,"Wenn eine Nebensatz-Einleitung aus einer Wortgruppe besteht - z.B. <em>wie(,) wenn</em>; <em>angenommen(,) dass</em> - kann in einigen Fällen zw. den Bestandteilen der Wortgruppe ein Komma gesetzt werden. ",§74 E1 ,selbst/mark,"Morgen wird es regnen,(B1.1) angenommen(,)(B1.2) dass der Wetterbericht stimmt.",,
B1.3,SUBORD:KOORD:KONJ,darf nicht,"Wenn eine echt koordinierende Konjunktion den Nebensatz mit Satzgliedern od. Teilen von Satzgliedern verbindet, steht kein Komma. Dies gilt auch bei einer Verbindung von Nebensätzen durch eine echt koordinierende Konjunktion. ",§74 E2 (1),MC + B,"Außerordentlich bedauert er diesen Vorfall (B1.3) und dass er hier geschehen konnte.",,
B1.4.1,SUBORD:KOORD:KONJ:ADJAZ,muss,"Wenn ein Nebensatz durch eine echt koordinierende Konjunktion mit einer anderen Konstituente (kein ganzer Satz, sondern z.B. Nominalphrase) verbunden ist, muss ein Komma gesetzt werden, wenn der Nebensatz direkt neben dem übergeordneten Teilsatz steht. ",§74 E2 (2),MC + B,"Bei großer Dürre oder wenn der Föhn weht,(B1.4.1) ist das Rauchen hier verboten.",,
B1.4.2,SUBORD:KOORD:KONJ:NONADJAZ,darf nicht,"Wenn ein Nebensatz durch eine echt koordinierende Konjunktion mit einer anderen Konstituente (kein ganzer Satz, sondern z.B. Nominalphrase) verbunden ist, darf kein Komma gesetzt werden, wenn der Nebensatz und der übergeordnete Teilsatz nicht direkt nebeneinander stehen. ",§74 E2 (3),MC + B,Wenn der Föhn weht oder bei großer Dürre (B1.4.2) ist das Rauchen hier verboten.,,
B1.5,SUBORD:FORMELHAFT,kann,Bei formelhaft verkürzten Nebensätzen kann ein Komma gesetzt werden.,§76,selbst/mark,"Wie gesagt(,)(B1.5) ist er sehr beschäftigt.",,
B2.1,SUBORD:INF:UMOHNESTATT,muss,"Wenn eine Infinitivphrase durch <em>um</em>, <em>ohne</em>, <em>statt</em>, <em>anstatt</em>, <em>außer</em> oder <em>als</em> eingeleitet wird, wird sie durch Komma(s) abgetrennt.",§75,selbst,"Ohne zu zögern,(B2.1) hat er die Pistole gezückt.",,
B2.2,SUBORD:INF:SUBSTATTRIBUT,muss,"Wenn eine Infinitivphrase als Attribut zu einem Substantiv steht, wird sie durch Komma(s) abgetrennt.",§75,selbst,"Die Idee,(B2.2) ein Jahr zu verreisen,(B2.2) gefiel ihr gut.",,
B2.3,SUBORD:INF:VERWEIS,muss,"Wenn eine Infinitivphrase durch ein Verweiswort/Korrelat angekündigt bzw. wieder aufgenommen wird, wird sie durch Komma(s) abgetrennt.",§75,selbst,"Er hatte nicht damit gerechnet,(B2.3) sie wiederzusehen.",,
B2.4.1,SUBORD:INF:ATTR,kann,"Wenn ein einfacher zu-Infinitiv als Attribut zu einem Substantiv steht, kann ein Komma gesetzt werden.",§75 E1,selbt/mark,"Der Plan(,)(B.2.4.1) zu verreisen(,)(B.2.4.1) gefiel ihr gut.",,
